comment,label
"baby girl ga they story a re ga sale one a go chila fajita , ene go chila to tena 💀 💀 i miss being single via @youtube ",NEG
twitter lo family bayata personal ga kalisina vyakti anayay chala manchi varu meru epudu ila hayiga undali al age on chem weight loss tips chepalani kotukuntunanu ,POS
please review mission of ,NTL
@bhattu03859268 koni videos chusa vadu ladies gurinchi chala cheta ga matladatadu 🤢 ,NEG
#suryawebseries chala bagndi .. father character chala baga raskunadu director .. too good and #youtube #shanmukhjaswanth ,POS
"what . rana is already famous he did many good movies and famous all over in inka chepali ante , , nor here states lo evariki teledu everyone knows rana actor , director , producer , television anchor , awards host ",POS
i will trust thyview download chesi chusta bro ,POS
"@telanganatoday manchi pani nijam ga , asalu waste galu chalamandi twitter lo akuva ayaru kanisam sense kuda ladu , most of them main intentions is abusing others in twitter platforms no use #twitterindia ",POS
@harish_neninthe @tarak99 ha deni bate ardam avutondi a channel vadu enta peda up .. o nuvu enta peda err up .. vo @urstrulymahesh audio function guest ga vachadante vala relation ento real fans telusu kani madyalo ne lanti err up galu ila cheetah a sweets chestaru . ,NEG
ana pls investigative thrillers kosam waiting love team thy view ❤ ️ ,NTL
ipudu la be antaru average ani oka 2 or 3 year 's tarvata one of the masterpiece ani antaru 🙄 😒 ,NTL
and chakra movies bro ,NTL
@atthidhiram_99 @mahalakshmi99 @urstrulymahesh road meda padkuntav entra gadida laga ,NEG
bro edi e language bro . telugu leda english lekapote telugu + english = tenglish a ,NEG
@actor_nithiin @sreshthmovies @tamannaahspeaks @nabhanatesh @merlapakag @mahathi_sagar me trailer chala bagndi .సుధీర్ of the . హాస్యనటుడు కాదు . కానీ the the the the the the . powerful star the the of the of the the the .. dayachesi edina avakasham ma hero ipichandi sir .22 ,POS
@imraj264 mari cheta ga vunaru oka ballon over action chestunaru epudu troll encourage cheyani nake kopam vestundi trolls chustunte ,NEG
i think thyme a is fan of justice league ,NTL
@bhanu__prabhas @kalyanreddy99 o amai cheta chepinchochu ga in ,NEG
"seeing pure telugu talented actors , feeling back to home . either both parents friends . lovely ",POS
keka review the best review channel ever i seen ,NTL
@iconicmasstaar comments lo koda brother ane unayi . sigulekunda credits dengestunaru ,NEG
"bpm loud vundi , words clear ga lekunde , so . . ",NTL
ante first comment arete be heart istara bro . prati video chustanam ikada . naku kavali okati padei ,POS
@drsaitejareddy ninu enta mandi mingutunaro ne timeline chuste chepochu .. 🤭 😂 😂 ayna sigu lekunda mala na dagara mingichukuntunav 🤣 🤣 ,NEG
@beingking__ acting gurinchi matladaniki emuntadi ra asala 😂 🤣 🙏 edo own banner lo kalam gadipesadu peru chepukuni .. kushi bilingual signed .ahh rendu cinemalu tesesina koda pm super star ey .. e gadikem em undi bochu patinchukuni fan avadamiki acting ey radu 🤭 ,NEG
"@kosana baboi ni drawbacks chala funny ga vunay . absolute time waste to read them . inka climax antava a have to understand zombies are not real , tey a fantasy a neither know it 's thread of arrival or dismisal . e cinema lo he showed like that . after all it 's fantasy . . ",NEG
the legendary voice is back ,POS
hayiga 11ki oadjuni sign duty eleytolam andaru kampu cheyseysar kada ra ,POS
@kavithach3 super aka chala bagundi i am .. ,POS
cinema lo story telling skills chala chetaga untay ,NEG
@616soldat chala manchi pani chestunaru meru ,POS
@thyview thanks for responding to my request ,POS
evaro oka fans support lekunda meru undaru entra .. 🦊 pm fans to okasari it lo minginchukunaru .. sigu leni bunnies to be frank celebrities lo madyalo at gadu avasarama .. ,NEG
"chala late ga petav baya review , afternoon nundi waiting ",NTL
cinema ni koncham kuda highlight healed gentoo . 🤦‍♂️ 🤦‍♂️ tells that he need a comeback ,NTL
songs vinapude movie asam ani telisipoyindi ga ,NEG
red kuda anta em ledu anaru box office supper ,NEG
"a konchem kuda sigu lekunda behaving , gorela manda unanta varuku vediki adu ledu 👍 ",NEG
@bgglowing cuba page cheat de .. kalo misal mau ganti produk bias in dip again dulu a atau ga bar needed of page sabin bayi dulu kaya dulu due begitu ,NEG
needed lo oka all time record leni pandulaki needed gada ada anta .. gadida gudu em kadu .. ceeded emperor ramcharan 🦁 @alwaysramcharan 🦁 ,NEG
@hasanalijafri12 k lye chila katna pare ga ,NEG
nuvu ichav ga ra lekapote nuvu ela puta vadivi gali lanjaodka ninu dengi me amaki musti esa eri hook nayala #hbdysjalaga ,POS
"just watched the movie , it 's simply superb -- this is the first video i did not like from thy view -- sorry to say this but i am unsubscribing your channel now because of the worst review ",NEG
@poojachundurumb ayina vadu gale zzz gadu more than 5 streaming kadu logins una pekestunadu mama manchodu ,NEG
@urstrulypradee4 @tarak99 telusu ayina .. fact cheparu .. banisa mundalu vala bratukuna hero a gadu .. offline fact idi 💯 .. ayina a lavada galu kavalani kelukutaru here heroes ni sigulekunda .. lite .. atanu genuine ga chepadu anduke quote chesa 👍🏻 #manofmassesntr #komarambheemntr ,NEG
bro meru okasari e nagaraniki em ayindi movie experience chepandi bro a movie eni sarlu chusina bor kotadu ,POS
@thyview this is remake of animated film ratatourie ,POS
stay home ! stay safe ! intlo kurchoni hayiga trend lo participate cheyandi 👍 #hbdsitaraghattamaneni #sarkaruvaaripaata #maheshbabubdaytrendonaug8th #ssmbbdaycdponjuly25th @urstrulymahesh ,POS
@chinnadhfm16 @mshikaram @fan_of_damon @ronaldo_mb_dhf @pawankalyan ba raju gadu mabu gadu chekunaru ga ,NEG
@anveshsakhamuri em antam era uncle gadu . adi phone lo silent lo padite teyi ani nane adigadu mali sigu leknda ,NEG
watching the review inside the movie theatre ( in of ) 😋 ,NTL
ivani kadandi . kosesara leda adi chepandi mundu ! ,NTL
nuvu cheputunte naku ostunai goosebumps 🔥 🔥 ,POS
@alwayshitler45 ela vijaya shanti kuka ni titinatu titi kuka ne koti natu kotichina kuda sigu lekunda chimpu gadu stage meda adukunata 😂 😂 💦 💦 💦 ,NEG
#10thstudents_livesmatter @audimulapsuresh @ysjagan @pawankalyan @ncbn @andhrapradeshcm @ysrcparty #justicefor10thstudents #supportus please stop te exams .. `` we need study certificate .. not death certificate '' .. 🤨 😏 una nanta kalam hayga bratikela uniyandi .. 🙏🏻 🙏🏻 ,POS
mail movie chala bagundi @priyadarshi_i ana nuvu enta katav fake lottery ,POS
@chennurisita my whats app dp updated sir . pl mention te location name sir . naku life lo alanti place lo oka sari ayina undali anipistundi . chala band sir location ,POS
one suggestion try to give review points out of 10 ( from your perspective ) ,NTL
movie review cheyandi bro ,NTL
boring movie . track was best more then this movie ,NEG
me was just awesome full action packed dima tiregey visuals 🔥 😍 ,POS
new movie review kavali bro ,NTL
@sunny_turlapati first picture chala bagndi color beautiful ga aesthetic ga kudirindi ,POS
"opposition chila ta rhe ga , hum twitter pe chelate range . govt . 1-2 encounter karke file close dega . daily routine hogya ye a to . i have started doubting te line `` are se '' i a ashamed and 😖 💔 . #justiceforindiasdaughters ",NEG
e roju anti fans full stuff ichav ga @imro45 🙏 ,POS
ana retired show cgysa bhaiya vja lo . it was lit but there is one point to make note that is mass theatre to cost hey be vac hey kick here level oka hugh untadhi anna chesina racha ki . specially chapman baby a bpm asalu 🔥 🔥 ram laxman fight masters fight compositions . and dilogues top noch bhayya . garu and varalaxmi gary characterisations . verey level ,POS
sinaiah roles kosam cinema ku velochchu ,POS
waiting for kapatadari and pogaru review ,NTL
please tell me in red is hit or not ,NTL
@budda_don @urstrulynan_i @parameswarprin7 @pvoraganti @rebelismm bumi putakamundu cinemalu tistunadu me gadu .. ipudu at least piranhas ventruka poti radu mabu gadu 😂 😂 😂 ,NEG
@udaybhargav11 @raj__9 @misterrobertk20 @ronaldo_mb_dhf @ssrajamouli ante mabu gadu koja ani opeskunav 🤣 🤣 🤣 😂 😂 low am eripuku fans ra meru okadu emo aka anatadu inkodu emo heroines lo mabu gadu best antadu nv emo ekam ga koja gadni chesasav low ,NEG
only for natural star nani 🔥 🔥 ,POS
@amayakudu_ baga hand ichav ga game ani ,POS
"asalu meru reviews lu 1 year nundi wait chestu una curiosity ni 3 mind review to padu chestunaru mi vala chodali ani modu utsaham ani sarva nashanam chestunaru . chepe vadu kuda . peda vade stories supply chesevadila , motam alike telisina vadila cheptadu . asalu ardam katle baya audience movie chodalo vado ani meru ela cheptaru ? ",NEG
expecting a like from thy view ,POS
@naveen that 's is mass garu a way . ,POS
bro master review . however movie chostuna 😁 . but waiting for review 👍 ,NTL
@votefornotebro @telugu360 democratic ga pomanu .. high court entiki aputundi .. cheta kada democratic ga povadam ? ,NEG
last year edaina ichav e year kuda vadalachu ga ana @tarak99 😔 😴 #ntr @tarak99 #komarambheemntr #13yearsforyamadonga ,POS
expecting a like from thy view ♥ ️ ♥ ️ ♥ ️ ♥ ️ ,POS
arey bad bad ani yenisarlu vadutav ra ne review inka bad . antunte nuv tey ra cenima nenista review . a cenima vale nuv review istu batukutunav . at least cenimalani bratakanivandra . . ,NEG
@srikanth_ntr1 kandistuna .. asala dani remake cheap annotate sense leni pani .. andulo malar place lo a .. devuda ,NEG
i watched movie not bad ,NTL
"@urstruly__kiran @reyraj10 @machabobby @koduvaoff @killer_kanchi @pkadmirer02 @pawankalyan poyi , re , pm di andarivi sanka nakandi 😂 ",NEG
give voice either in telugu or english . do not mix both . ,NEG
expect chesinatu ledu me review . . ,NEG
red title story link nti bro ply explain me ,NTL
jake karoo movie review chey bro ,NTL
telavarite guruvaram movie review ivandi bro 😊 ,NTL
modiji money ban cheyakapotey ma kusudu us velipoyevadu hayiga 🤧 jai ❤ ️ ✊ @tarak99 #komarambheemntr #3yearsforjailavakusa ,POS
fans like here . darlings ,NTL
please make review of tom and jerry ,NTL
story ledani evaranaru avpl lo ,NTL
@s_neha4ever kiki white cream kuda super untadi nehu .. e oreo em bagodu endukanta ishtam andariki ,POS
"@kathimahesh nuvu “ kandistuna ” ani kandrinchatam ( gandrinchatam kadu ! ) to , andaru vanikipotunaru . modi pant tadichipoyindi anta . students andaru roads medaki vacharu . movies closed . buses stopped . veli inka pani chosuko po ! ",NEG
movie gurinchi chepu baya ,NTL
ala adigite emani cheptam ,NTL
"@dj_jai008 @drsandeepjsp @pawankalyan e schemes lo amavodi , vidya , pension tapa migilinavi ani work chese valaki , work chesi income tech valaki ichede , edi freebie anedi mundu telusukondi , ikada prati volunteer ni garu ani gowravistunaru janalu , inka bedirimpulu ani sigu lekunda ela vagutaraya ? ",NEG
ika belam ana kota peru kuda kasta twaraga vinali ani vundi . 😂 ,NTL
"@alwaystrue123 @vakeelsaab26 @greatandhranews official ga janasena nundi release chesara ani adugutuna , evado pichi forward lu , twitter cheta fans petinavi kadu ",NEG
edi thy view kadu fry view ne koka 🙏 ra sami ,NEG
"e movie lo villa character naku manmada movie lo hero character same kada anipinchindi . kani manmada movie lo that role is positive . but this role is negative . a movie , e movie phat . ",NTL
@wayvfess ini anak wayv ini cuma akal bulbs ga site •_• ,POS
@sonytv @iamnehakakkar @vishaldadlani @fremantleindia @rajanpawandeep i request to all judges pl see the difference between danish and pagan deep singing song of yad a rama hai tera pm check repeat danish chila k ga raha hai or pagan deep to song main jo card hai uske map ne nahi bola mausam ,NEG
@apdigitalcorp @lathareddy704 @ysjagan @andhrapradeshcm manchidi sir bagundi mi alochana ,POS
"@vyshnavi66 hayiga intlo kurchoni , twitter vadutuna enjoy cheyandra ante , cog open kavali , ye boka ani enduku bada padtaro teledu , andaru ",POS
@mskjanasena @prasadpkcult @swagkhiladi @ravitalari15 pila puk sena batch pakaki veli adukoma .. veli inspiration status petukondi .. chandra sanka without sugar nakandi .. 😂 😂 ,NEG
@beingking__ @ntr_warrior adi patience kadu anta mandi umina sigulekunda roju anta andarini kelukodam antaru ,NEG
"@kchirutweets cinema ranganiki chesadu , prajanikaniki emi cheyaledu .. anduke municipal elections lo municipality cheta to patu visiresaru .. me kadupu nindindi ga , hayga nidrapondi .. enduku raitula meda cinema testavu .. raitulaki kastam vaste ekanda kanapadav ",POS
"everlasting kadu kani aparichitudu chusaka pant tadispoindi oka 2-3 weeks chala strict ga rules follow aya . siblings ni kotadam apesa , ishtam vachinatu cheta padeyadam apesa lot of other things . pila bacha gadni avadam vala a cinema impact ekuva undindi anukunta ",NEG
@anithareddyatp yekadi nunchi vachina help chestundau ga e tdp na kodukulaki yem pani ledu help cheyaka poga elanti cheta panulu chesta ru a na kidukulu 🤦🏻‍♂️ 🤦🏻‍♂️ ,NEG
hello all welcome to thy view ☺ ,POS
@phanny__18 kumav ga nuv koda 🔥 same 2 players a teda top neku ,POS
yevarito aina takuva matladali .. yem ante yemi .. 👍 no attachments .. 🥱 no friendships .. 😊 nothing .. 😁 😁 ala aite life chala peaceful ga hayga vuntundi .. 🧘 🧚 ,POS
super super nani acting is very nice ,POS
@sangepuramya @kingof_attitude @pawankalyan ivala padandi ramya garu 😏 voice chala bagundi ,POS
"of i get it ! people want this to be another orange ! they can ’ to take a negative shade of a leading actor 🙄 but some day everyone will end up liking this movie . director decently showed the negative shade of a relationship , and audience are not ready to watch & will never be . because we are so used to te fantasy ! 🤦🏽‍♀️ ",NEG
@reallyswara @shehla_rashid `` gar share anal nike ga '' chila ne vali ka biological pita 😆 ,NEG
"@plant_warrior @gayatri008_16 lucia anta telugu twitter motam mohana umestuna sigu lekunda bratike nuvu ra lucha , kula gaji kuka ",NEG
keka review the best review channel ever i seen ,NEG
"arey @jack ga dafa nayala , region fleets enduk ichav ra .. meta gala fleets ani kanpistunayi ",POS
@bharatthkrishna @_share7 sk gadu enduku bro waste gadu abi winner kadu ani yedchi sachadu vadiki vote enti inka mabu gade better dobulu mingete mingadu solu kaburu chepali ,NEG
500th like ❤ ️ ❤ ️ my release kosam kadu ne voice kosam waiting bro ,POS
thanks for the review bro ,POS
movie i kinda liked it . 🥺 🥺 ,POS
oka manchi chesesav ana 🤣 🤣 ,POS
i cant understand that seri means ,NTL
@raccharidhvik @urstrulymahesh san tesi manchi pani chesaru ,POS
"dear thy view , love you . for making to watch te best feel good movie . ) ",POS
@arunpb05 nenu tinanu inka bajunta nuvu kuda hayiga banjo good night ,POS
asalu video chestarani expect kuda cheyaledu tq so much . 18 + a kada family to chudacha ,POS
please review malayalam movie ( love ) ,POS
"@imthiyaz_ntr @urs_loafer @kchirutweets of inflated collections vuntey enta chestaru oka 10,20,30 enta chestaru a inflated collections ani tesukuna he is far ahead than any of his peers by miles . for fans vala hero ne gopa but oka mancini pani cheste dani kuda negative chesi ayna edo crime chesinatu matladtunaru ",POS
"lanja kodaka . @pawankalyan mundu ne guva kadukoni , ne pila na kodukula guva kadugu lucha ga ",NEG
i want best anime web series ,NTL
cinema keka la undi blockbuster ,POS
"nenu ivale chosa baya mari anta daranamga ledu alagani mari yeleti gari level ledu meru chepina points koni nijame , mari anta daranamga aite ledu nenu jus friendly ga cheptuna nothing serious 😀 ",NTL
rajendra prada best movies ,NTL
cinema flop bura padu asalu boldga una movie chagall ipatki bank a impact e movielo undadu 7.5 chepav ante ni review chala wrong coz movie a rangelo adindo andarki telsu e movie impact world famous lover movie pai emta padindo telsudi review iste e seen flag to kadu ,POS
is it dubbed in telugu . ? ,NTL
bro kgf breakdown and hidden details gurinchi video cheyandi bro ,NTL
@srh win or lose evaru opukoledu . maybe baga chesevadu emo ,NTL
"low , em reply iyalo koda teliyadam bro , chill ",NTL
yes bro even i want to watch ,NTL
this movie has to be watched in theatres 🙏 🙏 ,POS
@santoshsuprim ponle mawa .. a abay a am may fun anta .. a am may oral lake reply istadu anta .. manaki elago cheta kadu .. vadaina happy ga vundanivu 🥺 🥺 ,NEG
@sairazesh roju news chusi visugu bayam vachedi .. manasuku vinasompu ga hayiga mali olden gutuvachayi .. thanks ana for thread 2 hours even musical bits kervani manisharma .. ,POS
endi bro alu gadi dagara dabu tesukunava . paid review istunavu 😠 ,NEG
of pawala sanka nakandi 😂 😂 ,NEG
hama thanks sarah sarcastic ga memu kuda matladochu ani clarity ichav .. over to you guys @nizam_ntr @imuday6 @pratikreddyk ,POS
@chaitu3001__ @hemanthrko 1st nundi sadvte papa miss avtunadu emo anukuna last lo twist ichav ga 😂 🔥 ,POS
now a days movies ani anti hindu ga untunai . mostly christianity chopistanai . sad . ,NEG
@vaibhavyaso @urstrulymahesh inta fast ga reply ichav eti anai #sarkaruvaaripaata ,POS
@tom_bhayya_here ledu bro nuv ah page ni ret west chesi reply ichav ga andke tag chesa ah page ni .. of leave it here 😊 ,POS
astulu amukovali ra ela itey ,NEG
chusav bro ? us a ? ,NTL
cinema chusi chepta . intaku mundu kuda la be umamaheswara movie bagundi ani cheparu . chetala undi . e movie bagundi anipistondi . . ,POS
seriously movies is not good ,NTL
introverts baga matladatarani prove chesaru . or words are amazing ,POS
"it 's a rip off of forgotten mann , setting veru ante story similar undi ",NEG
it think they liked this video so much this a re upload ,NTL
@balupawanist_ okasari @/pkadmire gadni adugu cheptadu 😂 😹 😭 😂 vadi place lo nenu untey suicide cheskune vadni anta sigu sharam lekunda ela untaru ra meru tu ,NEG
though i have tom to watch movie . waiting for review from yesterday ,POS
theatre house full avadam vala wonder woman vela 🙄 ,NEG
@cheeks4042 jimmy vala owner papa antey nakishtam kani a amayi rocky vala owner antey istam . so ala okasari paka vedi may vala owner to e papa gurinchi ara testuntey telsindi lekapotey andari vishayalu telusukodaniki nakem avasaram ? ,POS
three movies reviews chepav one day lo 3 movies chusava ,NTL
own products so makers might create their own collects to buzz on der hero ,NEG
@gayatri008_16 akaya mname swayam ga vodipoyamu . inka mana 40 years che a a emo kuda cheyalekapoyadu . me vagina anesariki meru chiller ga matladutunaru . enduku sanga samskarta matalu . ,NEG
superb movie feel good last twist highlight . ravi ( harsh the ) is hero . nice comedy a big applause to team and day . ,POS
@lathareddy704 last year ichina donations white paper imanu sigulekunda adukuni thine govt ni .. me bodukada somu emaina istunaru enti .. studios .. dabulu dobe kada .. ,NEG
yang bisa cv pulsa tel ke bank ga ? ,NEG
@ruboxero @pranithpawankln @stonersuryaa ma lo aite mastu famous mabu gadu .. intiki oka fan vunadu mabu ganiki .. piranhas mundu nunde strong base vundi ra mabu ga lo 🍉 🍉 🍉 ☁ ️ ☁ ️ ☁ ️ ☁ ️ ,NEG
we . eat movies thy view . movie movie movie 🤣 🤣 . 3 review 's in a day a deserve a 1 million man 🥰 ,POS
please make a video on sankranti winner 🏆 of 2021 🙏 🙏 ,NTL
aya koncham telugu lo matladu ,NEG
@komaldomala @sai40352137 @puttavishnuvr @ktrtrs huh niku matrame kadu china . naku kuda it minister eh . and nenu bjp party kadu . ninu tag cheyakapoina sigulekunda ochinav mala oka mula tinakunda gelkutunav ,NEG
helo anta negative anti asalu bagundi urike pracharam cheyaku even imdb rating . 8.8 / 10 it is more than bahubali . me lo concept chudu ante kani commercial elements kadu ,POS
cinema chusa . chala bavundi ani detailed ga chupincharu ,POS
waiting for review . plus 🤗 ,NTL
bro ne review lo kuda chala lag undi again & again you are mentioning the same ,NEG
@kasyap__7396 @pawankalyan manchi pani chesav ana benefit pokunda ,POS
@manojnarahari a a 31/5 to ikadi varaku ucha padindi ga wait chesi reply ichav . ,POS
ade piranhas a the 🔥 🔥 shaking theatre ,POS
@actor_nithiin @sreshthmovies @tamannaahspeaks @nabhanatesh @merlapakag @mahathi_sagar me trailer chala bagndi .సుధీర్ of the . హాస్యనటుడు కాదు . కానీ the the the the the the . powerful star the the of the of the the the .. dayachesi edina avakasham ma hero ipichandi sir . llmj ,POS
lo 8:30 start and super undi movie ,NTL
korean the call movie a ga ,NTL
@devendrareddyg janalu emanukuntunaro kalu terichi chuste ardam avudi . a ni sarvanasanam chestu sigulekunda rajana rajyam ani abadapu pracharam cheyatam me cheep enta alvaro janalu chustune unaru . tirupati by elections lo me donga basula danda yata chusaka kuda mass ,NEG
@bharath_srh3 @urstrulymahesh chiller thumbnails base cheskuni kadu amba gadu etlano roju oka full eyali ga 😂 😂 😂 😂 😂 😂 ,NEG
@maharis02699192 @gbshankar1433 @princetarun143 @okkadifanikada me support maku anduku kani veli chiranjivi gadi sanka oak and ,NEG
want to watch or download the dark season 3 series ? ,NTL
@vasu__1 impede chusanu .. chala bagndi ani sepu urgent ga ,POS
a had fail ni on chem read ayadu . eye expression tapa . friend character suit avaledu ,NTL
@bbcnewstelugu e badudayalu kada enduku simple capital chalu anaru evadu ana plan chesi develop chestae vadi kulaniki chesukunadu anaru vedavulu sanka nakandi vision una leader mida kula religion corrupt abadala gaji politics nadipite la be untundi mundalara ,NEG
theatre lo chustey verela vundedi ,NTL
"yes true . not able to in that wig . i do not know whose this choice . definitely different wig . will helped this film , as once a see that in first appliance physiological a will loose the interest in cinema . that 's what happened with many people any how balaya garu has to take care this . he should have opposed this useless get up , even after disaster with same type of wigs in maharadi ",NEG
e break up scene enta hayiga untado 🤣 😆 #maharshi ,POS
cinema bagndi do not spread negative review ,POS
@isatruelover @dpconverge haha .. 😆 adu tagi vagutunte vinataniki evaru leru emo .. cinemalo digajarindi saripodu anatu idi modaletadu ,NEG
@cringe_sas_3 avunu ra fukuoka div a catch chesav 2018 daka chala hayiga unde ,POS
@rusthumhere @boanalyst bots vala oka mancini pani jarugutundi pm fan wars tagutunayi united ❤ ❤ ❤ ❤ ,POS
ani cnma lu chustano chudano kani baya ne review chudande nidra radu atla addict aipoina ❤ ️ ,POS
@sudeepk94089408 @arunkalyan5 @beingsalmankhan on chem telusukuni comment chei brother anta manchdu bollywood lo evadu ledu tanaku big boss nundi vache200cr remuneration being human trust istadu ento mandi kids ni chadivistunadu urke evadiki cult fanism radu ,POS
rakshasudu bpm laga undi baya e movie lo ,NTL
"@riandiar due japan a di confess in alah tapi born born ada yang confess , ga ada juga sie yang age crush in due , rank due tip suka orang kga pernah ",POS
mending due move di sebelah ga a taoi kalo nanti gate but main di sana gimana ,POS
@thyview bro naku telugu the best movie suggest cha bro ,NTL
baya nakemo see corona vala movies taku ayinai danivala audience expectations peaks poyindi danivale manaki movies lo yedo missing anipistundi . nakemo see movie nachindi mari anta deep ga velakunda yedo saradaga chusite baguntundi anide na abiprayam . me angle view vala chuste anjali script kani role kani taku unindi which was not protracted properly tapite naku see movie nachindi ante mari gurutundi poye movie yem kadu kani oka superb prayatnam ,NEG
lk inka sigu leknda lick chestunaru 🍉 🍉 mekantey paid lockers evaru untar ra tu 💦 ,NEG
em latkor galu unaru ra lo . manchi cinemaki theatres ivakunda me cinemalani janala meda rudutunaru . em chiller batch ra medi . #krack theatres is the revenue perugudi ga . #krackingblockbuster #krackmovie ,NEG
thank you . wish you a happy ,POS
@krishna bro balekapote money waste aitadi bro ,NEG
@harshaa_45 @_vi_hs_wa_t nen chuskunta ana nuv hayiga sachipo ,POS
shift aipoyi manchi pani chesav ana .. ,POS
finally oka manchi pani . thanks to social media people for demanding cancellation of exams 👍 #cancelapboardexams ,POS
hey in thy view already dil bechkar review is there know then a again ,NTL
rey @rcbtweets me team anta abd sanka nakandi abd lekapote me team = 0 ,NEG
that apathy meda video chey bro ,NTL
@ui009 @demigodprabhas1 @urstrulymahesh adangi entra nuvu adangi i emo ila trolls estunav sigu lekunda amalani titinchukuntunav .. ,NEG
@ursmahi8 @gururs4545 avnu avnu gadu madam puku nakina tarvta dani rasam mabu gadi notlo poste adi taste vundi ani dani chaskunada mati 😂 😂 ,NEG
ana jara telugu lo ne akuva matladu ana telugu vala kosam cheputuna review kada 👍 👍 🙏 ,NTL
@pspkcul51889653 @ajaysirimalla @urstrulymahesh valu goja nakoduku kabate adala pics pedutu ama chera kongu na dakunatu pics pedutunaru goja mabu lanja gadu 🤣 🤣 ,NEG
waiting for this video finally i got it ❤ ️ ,POS
@reddymoksh quotes vese prati vadu manchdu kadu idi kuda vesey 😂 😂 ,POS
stokes gadito puja cheyistunava ra smith ga .. abd vunadani telisi kuda unadkat ichav chudu 👌🏻 👌🏻 #rrvsrcb ,POS
nobody can give such reviews except thy view thank you team thy view expecting big works from your team ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ,POS
first half kumi avatalesadu second half lo kumina debalu gatiga tagilai anukunta nerasam ga vundi ,NTL
.. @adipurush1234 follow our co fan manchodu follow back kuda chestadu 😁 😁 ☺ #prabhas #radheshyam ,POS
most eligible bachelor release date ,NTL
@bhavanatarakian ass koda ade ichav ga .. ,POS
e korea @urstrulymahesh mada mabu gadu vadi puku nakinchadaniki tapa deniki panikiochadu ra ,NEG
e @smkoneru enta ichav ra lanjodka #krack release roju chustav ga ravana mass induke e arava galani lepodu anedi paid @rohitjswl01 🖕 #radheshyam #prabhas ,POS
movie is not included in the list ,NTL
"@vasu_rajahmndry @inturipunch glass pagilindi edidi , rei pawala degara panoda .. em dorakaleda ne mukaravindaniki ? prati oka pawala boku nayalu twitter lo unadu , 24 hours me daridrapu bajana .. chusi chusi ne musti batuku meda yak thu 💦 ani umalani undi kani attention ivadame boka meku 😂 . ",NEG
do video on top emotional scene bro ,POS
make a video on . why indian movies a not get oscars ? ,NTL
@gulappakiran meketi telustadi aniya ma bada meru hayiga intlo tini tonguntaru ,POS
eh movie most 2 years back di ,NTL
"@kushihari ne ava rey chiruta collection pawala gadi apativaraku una chesina ani cinemalakante ekuva 2nd film those south ih , average cinemalu kuda 40cr to 125 or . ela ra sigulekunda re to stamina to comparison 🤦 , mundu 90cr share kotandra ",NEG
